t,vel_izq,i_izq,vel_izq_est,i_izq_est,u_izq,vel_der,i_der,vel_der_est,i_der_est,u_der
2.224999999999996,0.0,1.7240013282113003,-0.15225137536298006,1.0846059289800436,-2.9262677668392105,0.0,2.2987033442001,0.04785848352024707,2.03033392993959,2.183686975596986
2.249999999999996,0.0,1.6820087064162002,-0.15378757002906202,1.1421191932715842,-2.9418341679008218,0.0,2.2426782752216003,0.045903066333250274,2.080339558544532,2.170713890591674
2.274999999999996,0.0,1.7240013282113003,-0.15521728701425064,1.1956461101817133,-2.956321633900734,0.0,2.2987033442001,0.04397812898736537,2.1295657301497455,2.1579430220607363
2.299999999999996,0.0,1.8689334692697002,-0.1570971365405369,1.2660255111779462,-2.975370352616111,0.0,2.42949831832,0.04161115742174788,2.1900959851854567,2.1422395069589575
2.3249999999999957,0.0,1.9156384800443,-0.15882239970307502,1.33061732589533,-2.9928526171176406,0.0,2.2987033442001,0.04052048381855463,2.217987638942248,2.1350035056283043
2.3499999999999956,0.0,1.9156384800443,-0.16018337582395936,1.3815706423941108,-3.006643518607768,0.0,2.4902357762780003,0.03844658914698482,2.271023076803636,2.1212443896474698
2.3749999999999956,0.0,2.1071709121222,-0.16225079537186896,1.4589724678963996,-3.027592909814356,0.0,2.6818729281110003,0.03557993900183942,2.3443315469621364,2.102225790311597
2.3999999999999955,0.0,2.4902357762780003,-0.1658693081059167,1.5944454781030843,-3.0642597077110576,0.0,2.4902357762780003,0.034466390296279945,2.372808182727069,2.094838025638899
2.4249999999999954,0.0,2.2426782752216003,-0.16743926843485318,1.6532227672088184,-3.0801682264642083,0.0,2.42949831832,0.03394831601242307,2.386056828796189,2.09140089633056
2.4499999999999953,0.0,2.4902357762780003,-0.16996224186181508,1.747680017543285,-3.1057337977902657,0.0,2.6818729281110003,0.0319560428073286,2.437004971544551,2.078183292529211
2.474999999999995,0.0,2.6818729281110003,-0.17294685058321044,1.8594203076324696,-3.1359771548264765,0.0,2.4902357762780003,0.0315469091452326,2.447467693306093,2.0754689225155554
2.499999999999995,0.0,2.6818729281110003,-0.1753012644950829,1.9475667456046413,-3.1598346566793527,0.0,2.2987033442001,0.032412529957382086,2.42533128521148,2.0812118261033223
2.524999999999995,0.0,2.6164230811735,-0.176818943906801,2.0043868071130633,-3.175213437127235,0.0,2.42949831832,0.03229368623707299,2.4283704601662017,2.0804233653613284
2.549999999999995,0.0,2.8734053601889,-0.17934958049109706,2.0991309624393804,-3.2008566614745493,0.0,2.4902357762780003,0.031818921249363225,2.4405115632558347,2.077273568691748
2.574999999999995,0.0,3.0649377922668,-0.18233969105584644,2.211077234894794,-3.2311557692000403,0.0,2.6818729281110003,0.030240561032951557,2.480874763146487,2.066802043028009
2.5999999999999948,0.0,3.2565749440998,-0.18569280066561977,2.3366137570465786,-3.26513318106102,0.0,2.4902357762780003,0.030164883712813978,2.482810049380262,2.0662999668913695
2.6249999999999947,0.0,2.9901678871254,-0.18695558962044667,2.3838909065633227,-3.2779290998094712,0.0,2.42949831832,0.030482938772711562,2.4746764688290543,2.068410081989053
2.6499999999999946,0.0,2.6818729281110003,-0.18635207587083466,2.361295892616356,-3.2718135876321486,0.0,2.6818729281110003,0.029164267604735658,2.508398674565196,2.0596614460097302
2.6749999999999945,0.0,2.8734053601889,-0.18686980180333346,2.380679044571528,-3.277059784886773,0.0,2.4902357762780003,0.029297800825221362,2.504983846938738,2.0605473632616995
2.6999999999999944,0.0,2.6818729281110003,-0.18628440060694795,2.3587622117622846,-3.271127827696055,0.0,2.2987033442001,0.030600604616672147,2.4716674155525187,2.069190728188914
2.7249999999999943,0.0,2.8734053601889,-0.18681641610507874,2.3786803479464127,-3.27651882248904,0.0,2.8734053601889,0.02806383465797356,2.5365399027429616,2.052360696964289
2.7499999999999942,0.0,2.6164230811735,-0.1859026849362098,2.3444711954881496,-3.2672598557057624,0.0,2.6164230811735,0.027623819422208692,2.547792354958667,2.049441445208339
