t,vel_izq,i_izq,vel_izq_est,i_izq_est,u_izq,ref_vel_izq,vel_der,i_der,vel_der_est,i_der_est,u_der,ref_vel_der
2.224999999999996,0.0,3.8311722403335002,-0.20846010276861016,3.1889946277021948,-3.495836527906085,-2.5,0.0,2.2987033442001,0.04144326645105236,2.1943894390743064,2.1411256455033527,2.5
2.249999999999996,0.0,3.8311722403335002,-0.20927935923269708,3.219666608839584,-3.504138132186993,-2.5,0.0,2.1071709121222,0.041580454427868,2.1908811488410485,2.142035809992616,2.5
2.274999999999996,0.0,3.7377622187843,-0.24015991857018937,3.221926371669474,-4.162927498658696,-3.125,0.0,2.0557535123681,0.07353372602307676,2.1872974744162645,2.8205709248967894,3.125
2.299999999999996,0.0,3.8311722403335002,-0.24052498753844126,3.235589449509183,-4.166625506212642,-3.125,0.0,2.1071709121222,0.07276875431100373,2.2068599962390114,2.815495771046858,3.125
2.3249999999999957,0.0,4.7890438402332,-0.24578302126709334,3.4324445016103966,-4.2199058197948975,-3.125,0.0,2.4902357762780003,0.06976202457124892,2.283750703595348,2.795547822976186,3.125
2.3499999999999956,0.0,4.4058742563223,-0.2479426705407326,3.513298958844299,-4.241789691375187,-3.125,0.0,2.4902357762780003,0.06733974470159783,2.345695350673715,2.7794773686175267,3.125
2.3749999999999956,0.0,4.6721765935416,-0.25102808107544006,3.6288131921484323,-4.273054494836497,-3.125,0.0,2.8033478440270003,0.06343438431790187,2.4455666222454284,2.753567515430305,3.125
2.3999999999999955,0.0,4.5974066884002,-0.25307405185094456,3.7054118443118305,-4.293786500816987,-3.125,0.0,2.8734053601889,0.05985096767145004,2.5372048686268376,2.7297935765116286,3.125
2.4249999999999954,0.0,5.172108704389,-0.2576699969341574,3.877478864378967,-4.340357745170666,-3.125,0.0,2.8734053601889,0.05696409763043145,2.6110304195437797,2.7106408296243534,3.125
2.4499999999999953,0.0,4.7890438402332,-0.25930789550304173,3.9387995999684744,-4.356954666863513,-3.125,0.0,2.8734053601889,0.0546383790618247,2.670505717068628,2.6952110047819975,3.125
2.474999999999995,0.0,4.6721765935416,-0.2599935547185224,3.9644697911788986,-4.363902498652914,-3.125,0.0,2.8033478440270003,0.05320191749553346,2.7072401612919346,2.68568089625568,3.125
